Title,Subtitle,Author,Format,Formats Owned
Columbus Day,"Expeditionary Force, Book 1",Craig Alanson,Audible,1
Columbus Day (Expeditionary Force Book 1),,Craig Alanson,Kindle,1
Combat,Armed and Unarmed Combat Skills from Official Training Manuals,Len Cacutt,Physical,1
Coming Dawn,(Devin Gray Book 2),Steven Konkoly,Kindle,1
Commando Despatch Rider,"From D-Day to Deutschland, 1944-45",Raymond Mitchell,Kindle,1
Communicating Across Cultures,A Practical Guide (Skills Book 2) Sorin Dumitrascu,Sorin Dumitrascul,Kindle,1
Communicating Effectively with Senior Executives,A Practical Guide (Productivity Book 4),Sorin Dumitrascu,Kindle,1
Communication Skills Training,"A Practical Guide to Improving Your Social Intelligence, Presentation, Persuasion and Public Speaking: Positive Psychology Coaching Series, Book 9",Ian Tuhovsky,Audible,1
Communication Skills Training,"How to Talk to Anyone, Connect Effortlessly, Develop Charisma, and Become a Pe...",James W. Williams,Kindle,1
Comp TIA Server Exam Cram 2,,Charles J. Brooks,Physical,1
Complete Hackers Handbook PB,,Dr K.,Physical,1
Compromised,,Derek Keyte,Kindle,1
Computer Security,Businesses at Risk,R.R.C. Penfold,Physical,1
Concise 48 Laws of Power,,Robert Greene,Physical,1
Concise Art of Seduction,,Robert Greene,Physical,1
Concise Laws Of Human Nature,,Robert Greene,Physical,1
Confident Cyber Security,How to Get Started in Cyber Security and Futureproof Your Career (Confident Series),Jessica Barker,Physical,1
Congo,A fast-paced thriller from the new master of horror (World's Scariest Places Book 7),Jeremy Bates,Kindle,1
Consent to Kill (The Mitch Rapp Series Book 6),,Vince Flynn,Kindle,1
Consider Phlebas,(Culture series Book 1),lain M. Banks,Kindle,1
Consultative Selling,The Hanan Formula for High-Margin Sales at High Levels Mack HANAN,,Kindle,1
Containment,,Christian Cantrell,Kindle,1
Cooch (The Cooch series of national security thrillers Book 1),,,Kindle,1
Cool Camping Wales,A Hand Picked Selection of Exceptional Campsites and Camping Experiences,Jonathan Knight,Physical,1
Corridor Man Volumes 1-3,,Mike Faricy,Kindle,1
Cost Consciousness in the Workplace,A Practical Guide (Management Book 10) Sorin Dumitrascu,Sorin Dumitrascul,Kindle,1
Count Zero,,William Gibson,Physical,1
Countdown to Zero Day,Stuxnet and the Launch of the World's First Digital Weapon,Kim Zetter,Physical,1
Courage Is Calling,Fortune Favors the Brave (The Stoic Virtues Series),Ryan Holiday,"Physical, Kindle, Audible",3
Cracking the PM Interview,How to Land a Product Manager Job in Technology (Cracking the Interview & Career) Gayle,Laakmann McDowell,Kindle,1
Creating a Positive Atmosphere,A Practical Guide (Career Book 7),Sorin Dumitrascu,Kindle,1
Crisis Four,(Nick Stone Thriller 2),Andy McNab,Kindle,1
Critical Thinking Essentials,A Practical Guide,Sorin Dumitrascu,Kindle,1
Critical Vulnerability (An Aroostine Higgins Novel Book 1),,Melissa F. Miller,Kindle,1
Crocodile Tears (Alex Rider),,Anthony Horowitz,Physical,1
Crossfire,(Nick Stone Thriller 10),Andy McNab,Kindle,1
"Crossing the Chasm, 3rd Edition",Marketing and Selling Disruptive Products to Mainstream Customers (Collins Business Essentials),Geoffrey A. Moore,Physical,1
Cruising for Death. Kate Jones Thriller #2,,DV Berkom,Kindle,1
Crux (Nexus Book 2),,Ramez Naam,Kindle,1
Curious George at the Beach H. A. Key. Margaret Key,,,Kindle,1
Customer Focus,A Practical Guide (Business) S,Sorin Dumitrascu,Kindle,1
CWAP Certified Wireless Analysis Professional Official Study Guide,Exam PW0-270,David A. Westcott,Kindle,1
CWDP Certified Wireless Design Professional Official Study Guide,"Exam PWO-250 Shawn M. Jackman, Matt Swartz, Marcus Burton, Thomas W. Head",,Kindle,1
CWNA,Certified Wireless Network Administrator Official Study Guide: Exam PWO-105,David D. Coleman,Kindle,1
CWSP Certified Wireless Security Professional Official Study Guide,Exam PW0-204,David D. Coleman,Kindle,1
CWTS,Certified Wireless Technology Specialist Official Study Guide: Exam PW0-070,Robert J. Bartz,Kindle,1
Cyberabad Days,,lan Mcdonald,Kindle,1
Cybersecurity for Beginners,,Raef Meeuwisse,"Kindle, Audible",2
"Cybersecurity For Dummies, 2nd Edition (For Dummies (Computer/Tech))",,Joseph Steinberg,Physical,1
Cybershock,"Surviving Hackers, Phreakers, Identity Thieves, Internet Terrorists and Weapons of Mass Disruption",Winn Schwartau,Physical,1
D is for Deadbeat,A Kinsey Millhone Mystery (Kinsey Millhone Alphabet series Book 4),Sue Grafton,Kindle,1
D is for Digital,,Brian Kernighan,Kindle,1
Daemon Daniel,,Suarez,Kindle,1
Daily Reflections for Highly Effective People,Living the 7 Habits of Highly Effective People Every Day,Stephen R. Covey,Physical,1
"Dangerous Desires (A Boxed Set)| C J Lyons, Debra Webb, Vicki",,Hinze,Kindle,1
Dark Age,,Pierce Brown,Audible,1
Dark Age (#5),Red Rising Series,Pierce Brown,Kindle,1
Dark Cure,Trident Force Thriller series Book 1,Cameron K. Moore,Kindle,1
Dark Heart (Detective Charlie Cooper Mysteries Book 1),,Catherine Lee,Kindle,1
Dark Paradise (Detective Charlie Cooper Mysteries),,Catherine Lee,Kindle,1
Dark Sky (The Misadventures of Max Bowman Book 1),,Joel Canfield,Kindle,1
Dark Territory,The Secret History of Cyber War,Fred Kaplan,Physical,1
Dark Water,A Ryan Weller Thriller: Book 1,Evan Graver,Kindle,1
Dark Waters,A Deborah Jones Thriller (Deborah Jones Crime Thriller Series Book 2,J.B. Turner,Kindle,1
Dark Winter,(Nick Stone Thriller 6),Andy McNab,Kindle,1
Data Center Networks and Fibre Channel over Ethernet (FCoE),,Silvano Gai,Physical,1
Day One,Junos for IOS Engineers (Junos Fundamentals Book 8),Chris Jones,Kindle,1
Days of Panic,A Post-Apocalyptic EMP Survival Thriller (EMP Survival Series Book 1) Jack Hunt,,Kindle,1
Dead Centre,(Nick Stone Thriller 14),Andy McNab,Kindle,1
Dead Drop,A Spider Shepherd short story (Dan Shepherd series Book 13),Stephen Leather,Kindle,1
Dead Eye (#4),(Grey Man Series),Mark Greaney,Kindle,1
Dead Line,Nail-biting espionage thriller from ex-Head of MI5 (Liz Carlyle Book 4),Stella Rimington,Kindle,1
Dead Lions,Slough House Thriller 2,Mick Herron,Kindle,1
Dead Men,The Fifth Spider Shepherd Thriller,Stephen Leather,Kindle,1
Dead Men Risen,The Welsh Guards and the Real Story of Britain's War in Afghanistan,Toby Harnden,Kindle,1
Deadlocked (Lou Mason Thrillers Book 4),,Joel Goldman,Kindle,1
Deadly Crossing,An Intense Read (The Tom Dugan Thrillers),R.E. McDermott,Kindle,1
Deadly Secrets,A Police Procedural Cozy Blend (Mapleton Mystery Book 1),Terry Odell,Kindle,1
Deadly Straits,An Intense Read (The Tom Dugan Thrillers),R.E. McDermott,Kindle,1
Deal Management,The Hidden Reasons Sales Stall and the Evidence-Based System to Win More,David Weiss,Kindle,1
Death in the Beginning (The God Tools Book 1),,Gary Williams,Kindle,1
Death Ship (Danforth Saga Book 5),,Joseph Badal,Kindle,1
Death Toll Rising - America is under attack..,"David Porter Mystery #4 (An international political crime thriller) Terry Keys,",Susan Hughes,Kindle,1
Death's End (The Three-Body Problem Book 3),,,Kindle,1
Debt of Fear,A Logan Falcone Thriller Michael,Reid Jr,Kindle,1
Debt of Honor,Prepare for a thrilling read in this unforgettable Jack Ryan adventure,Tom Clancy,Kindle,1
Deep Sleep,(Devin Gray Book 1),Steven Konkoly,Kindle,1
Deep Work,Rules for Focused Success in a Distracted World,Cal Newport,"Kindle, Audible",2
Defending Turquoise,A gripping legal thriller (Thaddeus Murfee Legal Thriller Series Book 5),John Ellsworth,Kindle,1
Delayed Justice (A Marc Kadella Legal Mystery Book 6),,Dennis Carstens,Kindle,1
Derbyshire & Peak District Dog Frien Wal,,Peter Naldrett,Physical,1
Desert God,The gripping Sunday Times bestselling historical action adventure novel (The Egyptian Series Book 5),Wilbur Smith,Kindle,1
Desert War,,Mike Moore,Physical,1
Design Your Work,Praxis Volume 1,Tiago Forte,Kindle,1
Designing Your Life,For Fans of Atomic Habits,Bill Burnett,"Kindle, Audible",2
Designing Your New Work Life,How to Thrive and Change and Find Happiness--and a New Freedom--at Work,Bill Burnett,Physical,1
Desolation Run,,James Snyder,Kindle,1
Desperate Justice (A Marc Kadella Legal Mystery Book 2),,Dennis Carstens,Kindle,1
Detonator,(Nick Stone Thriller 17),Andy McNab,Kindle,1
Developing a Culture of Learning,A Practical Guide (Productivity Book 9),Sorin Dumitrascu,Kindle,1
Developing a High-performance Organization,A Practical Guide (Skills Book 6) Sorin Dumitrascu,Sorin Dumitrascul,Kindle,1
Developing Effective Negotiation Skills,A Practical Guide (Management Book 8) Sorin Dumitrascu,Sorin Dumitrascul,Kindle,1
Developing Strategic Thinking Skills,A Practical Guide,Sorin Dumitrascu,Kindle,1
Developing Your Critical Thinking Skills,A Practical Guide (Management Book 3)| Sorin Dumitrascu,Sorin Dumitrascul,Kindle,1
Diary of an Awesome Friendly Kid,Rowley Jefferson's Journal (Rowley Jefferson's Awesome Friendly Adventure B...,Jeff Kinney,Kindle,1
Diaspora,"The dark, post-apocalyptic thriller perfect for fans of BLACK MIRROR and Philip K. Dick",Greg Egan,"Kindle, Audible",2
"Die Trying (Jack Reacher, Book 2)",,Lee Child,Kindle,1
Digital Divide (Rachel Peng Book 1),,K.B. Spangler,Kindle,1
Digital Minimalism,Choosing a Focused Life in a Noisy World,Cal Newport,"Kindle, Audible",2
Digital Zettelkasten,"Principles, Methods, &amp; Examples",David Kadavy,Kindle,1
Dirty Business (The Acer Sansom Novels Book 1),,Oliver Tidy,Kindle,1
Discipline Is Destiny,The Power of Self-Control,Ryan Holiday,"Physical, Kindle, Audible",3
Discover Your Sales Strengths (Gallup),,Tony Rutigliano,Physical,1
Discovering Your Strengths,A Practical Guide (Skills Book 3) Sorin Dumitrascu,Sorin Dumitrascul,Kindle,1
Dismissing an Employee,A Practical Guide (Success Book 9),Sorin Dumitrascu,Kindle,1
Dispatches,,Michael Herr,Physical,1
DISPATCHES,A Post-Apocalyptic Survival Thriller (Alex Fletcher Book 5),Steven Konkoly,Kindle,1
Dissertation Skills for Business and Management Students,,Brian White,Physical,1
Diversity on the Job,A Practical Guide (Skills Book 10),Sorin Dumitrascul,Kindle,1
Divide & Conquer,,Murray McDonald,Kindle,1
Divided,Why We're Living in an Age of Walls,Tim Marshal,Kindle,1
DNS,The Internet's Control Plane,Enrique Somoza,Kindle,1
Do Hard Things,Why We Get Resilience Wrong and the Surprising Science of Real Toughness,Steve Magness,Physical,1
Do the Work,"The Official Unrepentant, Ass-Kicking, No-Kidding, Change-Your-Life Sidekick to Unf*ck Yourself",Steven Pressfield,"Kindle, Audible",2
Dog Friendly Tea Room & Cafe Walks - Lake District,,Seddon Neudorfer,Physical,1
Doing Business Professionally,A Practical Guide,Sorin Dumitrascu,Kindle,1
Don't Believe Everything You Think,Why Your Thinking Is The Beginning & End Of Suffering,Joseph Nguyen,Kindle,1
Don't Go There,From Chernobyl to North Korea—one man's quest to lose himself and find everyone else in the w...,Adam Fletcher,Kindle,1
Don't Sweat the Small Stuff,Simple Ways to Keep the Little Things from Taking Over Your Life,Richard Carlson,Kindle,1
Don't Trust Me (Hamlet Book 1) Jessica Lynch 26 February 2019 Shattered Triangle,,William P. Messenger,Kindle,1
Double Agent,From the bestselling author of Secret Service,Tom Bradby,Kindle,1
Double Cross,The True Story of The D-Day Spies,Ben Macintyre,Physical,1
Down Cemetery Road,Zoe Boehm Thrillers 1,Mick Herron,Kindle,1
Dragonfired,(The Dark Profit Saga),J. Zachary Pike,"Kindle, Audible",2
Drive USA,,Andrew Vincent,Physical,1
Drop Zone,An Action-Packed Spider Shepherd SAS Novella (Spider Shepherd: SAS Book 3),Stephen Leather,Kindle,1
Dungeon Crawler Carl,Dungeon Crawler Carl Book 1,Matt Dinniman,"Kindle, Audible",2
Dust,Book 3 of Silo (Wool Trilogy Series),Hugh Howey,"Kindle, Audible",2
Dust to Dust,Deconstruction Book One (A Post-Apocalvotic Thriller),Rashad Freeman,Kindle,1
Dusty Warriors,Modern Soldiers at War,Richard Holmes,Physical,1
Déjà Vu (The Saskia Brandt Series Book One) lan,,Hocking,Kindle,1
E is for Evidence (Kinsey Millhone Alphabet series Book 5),,Sue Grafton,Kindle,1
Eagle Strike (Alex Rider),,Anthony Horowitz,Physical,1
Earth,,David Brin,Physical,1
Earth Abides (S.F. MASTERWORKS),,George. R. Stewart,Physical,1
Echo Boy,,Matt Haig,Audible,1
"Echo Burning (Jack Reacher, Book 5)",,,Kindle,1
Eden Rising (Eden Rising Post-Apocalyptic Series Book 1),,Andrew Cunningham,Kindle,1
Effective Business Meetings (Management Book 1),A Practical Guide,Sorin Dumitrascu,Kindle,1
Effective Teamwork (Skills Book 8),A Practical Guide,Sorin Dumitrascu,Kindle,1
Effortless,Make It Easier to Do What Matters Most,Greg McKeown,"Kindle, Audible",2
Ego Is the Enemy,"The Fight to Master Our Greatest Opponent (The Way, the Enemy and the Key)",Ryan Holiday,"Physical, Kindle",2
Emergency,This Book Will Save Your Life,Neil Strauss,Physical,1
Emergency Skin (Forward collection),(forward Collection) AMAZON ONLY,N. K. Jemisin,Kindle,1
Emotional Intelligence,Why It Can Matter More Than IQ,Daniel Goleman,Physical,1
Emotional Intelligence Essentials,A Practical Guide Sorin Dumitrascu,Sorin Dumitrascul,Kindle,1
Emotional Intelligence for Sales Success,Connect with Customers and Get Results,Colleen Stanley,Audible,1
EMP,,Wilson Harp,Kindle,1
Empire of the,,Sun J. G. Ballard,Kindle,1
Empire of the Sun,,J. G. Ballard,Audible,1
Ender's Game,Book 1 of the Ender Saga (The Ender Quartet series) | Orson,Scott Card,Kindle,1
Enneagram Transformations,Releases and Affirmations for Healing Your Personality Type,Don Richard Riso,Kindle,1
Eruption,,James Patterson,Kindle,1
"Escape, A New Life",,David Antocci,Kindle,1
Essential Manager's Manual,,Robert Heller,Physical,1
Essential Mentoring Techniques,A Practical Guide (Skills Book 7) Sorin Dumitrascu,Sorin Dumitrascul,Kindle,1
Essential Selling Skills,A Practical Guide (Productivity Book 3) Sorin Dumitrascu,Sorin Dumitrascul,Kindle,1
Essential Skills for Administrative Support Professionals,A Practical Guide,Sorin Dumitrascu,Kindle,1
Essentialism,The Disciplined Pursuit of Less,Greg Mckeown,"Kindle, Audible",2
Essentials of Interviewing and Hiring (Career Book 2),A Practical Guide,Sorin Dumitrascu,Kindle,1
Ethan Justice,Origins,Simon Jenner,Kindle,1
EVENT HORIZON,A Post-Apocalyptic Survival Thriller (Alex Fletcher Book 3)| steven,Konkoly,Kindle,1
Everyday Bias,Identifying and Navigating Unconscious Judgments in Our Daily Lives,,Kindle,1
Everything Is F*cked,A Book about Hope,Mark Manson,"Physical, Kindle, Audible",3
Exactly What to Say,The Magic Words for Influence and Impact,Phil M. Jones,Audible,1
Excession (Culture Book 4) lain M. banks,,,Kindle,1
Execution of Justice,Covert Ops Military Assassination Thriller,Patrick Dent,Kindle,1
Executive Orders,Do not miss this edge-of-your-seat Tom Clancy thriller (Jack Ryan Book 7),Tom Clancy,Kindle,1
Executive Power (#4),(Mitch Rapp Series),Vince Flynn,Kindle,1
Exile Hunter (Kamas Trilogy Book 3),,Preston Fleming,Kindle,1
Exit Strategy,The Murderbot Diaries,Martha Wells,"Kindle, Audible",2
Exit Strategy (Katerina Carter Fraud Thriller Series Book 1),,Colleen Cross,Kindle,1
Exit Wound. Nick Stone Thriller 12),,Andy McNab,Kindle,1
Exodus (The Exodus Trilogy Book 1),,Andreas Christensen,Kindle,1
Extend Your Mind,Praxis Volume 2,Tiago Forte,Kindle,1
Extraordinary Retribution (INTEL 1 Book 2),,Erec Stebbins,Kindle,1
Eye of the Storm,25 Years in Action with the SAS,Peter Ratcliffe,Physical,1
Eyes of the Hammer,The Green Berets: Dave Riley #1,Bob Maveri,Kindle,1
Eyes Pried Open,Rookie FBI Agent,Vincent Sellers,Kindle,1
F is for Fugitive (Kinsey Millhone Alphabet series Book 6),,Sue Grafton,Kindle,1
Facebook,The Missing Manual,E. A. Vander Veer,Physical,1
Fail State,(A novel of the End of Days: a cyberwar apocalypse),John Birmingham,Kindle,1
Fair Game,The Eighth Spider Shepherd Thriller,Stephen Leather,Kindle,1
FAKE PAPERS,The Survival Lessons,Aaron Rockett,Kindle,1
Falklands Commando,,Hugh McManners,Kindle,1
Fallen Dragon,,Peter F. Hamilton,"Kindle, Audible",2
Fallen Mangrove,A Jesse McDermitt Novel (Caribbean Adventure Series Book 5),Wayne Stinnett,Kindle,1
Fallen Palm,A Jesse McDermitt Novel (Caribbean Adventure Series Book 2),Wayne Stinnett,Kindle,1
Fallen Pride,A Jesse McDermitt Novel (Caribbean Adventure Series Book 4),Wayne Stinnett,Kindle,1
Fallen Series,A Jesse McDermitt Bundle (Caribbean Adventure Series Book 0),Wayne Stinnett,Kindle,1
False Friends,The unmissable action thriller from the legendary Sunday Times bestseller (The Spider Shepherd Thrillers Book 9),Stephen Leather,Kindle,1
Family Ghouls (A Greek Ghouls Mystery Book 1) Alex A. King,,,Kindle,1
Farewell to Russia,A Pyotr Kirov Detective Novel,Jim Williams,Kindle,1
Fast Food Nation,What the All-American Meal Is Doing to the World,Eric Schlosser,Physical,1
Fat Man to Green Man,From Unfit to Ultramarathon,Ira Kalney,Kindle,1
Fat Man to Green Man,From Unfit to Ultramarathon,Ira Rainey,Audible,1
Fatal Decision,A Cold Case Murder Mystery Serles (The Freeman Files Book 1),Ted Tayler,Kindle,1
Fatal Flowers Enes smith,,,Kindle,1
"Fatal Lies (""Lies"" Mystery Thriller Series Book 2)",,Andrew Cunningham,Kindle,1
Fatal Starts,Series Begins Here - Special Edition - First Two Gripping Jess Kimball Thrillers (The Jess Kimball Thrillers S...,Diane Capri,Kindle,1
Fava,A Francine Vega Investigative Thriller (Vega Thriller Book 1),John Hazen,Kindle,1
Fear No Truth,A Faith McClellan Novel (The Faith McClellan Series Book 1),LynDee Walker,Kindle,1
February's Files,(Manny Rivera Mystery Series Book 2),Kith dittin,Kindle,1
Feel the Fear and Do It Anyway,,Susan J. Jeffers,Physical,1
Feel-Good Productivity,How to Do More of What Matters to You,Ali Abdaal,"Physical, Kindle, Audible",3
FIGHTING FOR QUEEN AND COUNTRY,one man's true story of blood and violence in the Paras and SAS,Nigel Ely,Kindle,1
Final Stand,(Surviving the EMP Book 6),Ryan Casey,Kindle,1
"Find Out Anything From Anyone, Anytime",Secrets of Calculated Questioning From a Veteran Interrogator,James O. Pyle,Kindle,1
"Find Your Values, Find Yourself",The Simple 3-Step Method to Discover Your Values and Bring Clarity,,Kindle,1
Finding Meaning in the Second Half of Life,"How to Finally, Really Grow Up",James Hollis,Kindle,1
"Finding Ultra, Revised and Updated Edition","Rejecting Middle Age, Becoming One of the World's Fittest Men, and Discovering Myself",Rich Roll,Physical,1
